post_id,page_id,shared_url,created_time,likes,shares
169,Account17,https://www.facebook.com/coord_url_017/,91:36.0,680,47
170,Account19,https://www.facebook.com/coord_url_017/,91:48.0,695,51
171,Account05,https://www.facebook.com/coord_url_018/,95:00.0,820,55
172,Account06,https://www.facebook.com/coord_url_018/,95:10.0,825,56
173,Account07,https://www.facebook.com/coord_url_018/,95:20.0,818,54
174,Account08,https://www.facebook.com/coord_url_018/,95:30.0,830,57
175,Account09,https://www.facebook.com/coord_url_018/,95:40.0,815,53
176,Account10,https://www.facebook.com/coord_url_018/,95:50.0,828,58
177,Account11,https://www.facebook.com/coord_url_018/,96:00.0,822,55
178,Account12,https://www.facebook.com/coord_url_018/,96:10.0,833,59
179,Account13,https://www.facebook.com/coord_url_019/,100:00.0,590,40
180,Account14,https://www.facebook.com/coord_url_019/,100:14.0,595,41
181,Account15,https://www.facebook.com/coord_url_019/,100:28.0,588,39
182,Account16,https://www.facebook.com/coord_url_019/,100:42.0,600,42
183,Account17,https://www.facebook.com/coord_url_019/,100:56.0,585,38
184,Account18,https://www.facebook.com/coord_url_019/,101:10.0,598,43
185,Account19,https://www.facebook.com/coord_url_019/,101:24.0,592,40
186,Account20,https://www.facebook.com/coord_url_019/,101:38.0,603,44
187,Account01,https://www.facebook.com/coord_url_020/,105:00.0,1250,85
188,Account02,https://www.facebook.com/coord_url_020/,105:06.0,1255,86
189,Account03,https://www.facebook.com/coord_url_020/,105:12.0,1248,84
190,Account04,https://www.facebook.com/coord_url_020/,105:18.0,1260,87
191,Account05,https://www.facebook.com/coord_url_020/,105:24.0,1245,83
192,Account06,https://www.facebook.com/coord_url_020/,105:30.0,1258,88
193,Account07,https://www.facebook.com/coord_url_020/,105:36.0,1252,85
194,Account08,https://www.facebook.com/coord_url_020/,105:42.0,1263,89
195,Account09,https://www.facebook.com/coord_url_020/,105:48.0,1250,86
196,Account10,https://www.facebook.com/coord_url_020/,105:54.0,1265,90
197,Account11,https://www.facebook.com/coord_url_020/,106:00.0,1253,87
198,Account12,https://www.facebook.com/coord_url_020/,106:06.0,1268,91
199,Account13,https://www.facebook.com/coord_url_020/,106:12.0,1255,88
200,Account14,https://www.facebook.com/coord_url_020/,106:18.0,1270,92
201,Account15,https://www.facebook.com/coord_url_020/,106:24.0,1258,89
202,Account16,https://www.facebook.com/coord_url_020/,106:30.0,1273,93
203,Account17,https://www.facebook.com/coord_url_020/,106:36.0,1260,90
204,Account18,https://www.facebook.com/coord_url_020/,106:42.0,1275,94
205,Account19,https://www.facebook.com/coord_url_020/,106:48.0,1263,91
206,Account20,https://www.facebook.com/coord_url_020/,106:54.0,1278,95
207,Account02,https://www.facebook.com/coord_url_021/,110:00.0,410,28
208,Account05,https://www.facebook.com/coord_url_021/,110:18.0,415,29
209,Account08,https://www.facebook.com/coord_url_021/,110:36.0,408,27
210,Account11,https://www.facebook.com/coord_url_021/,110:54.0,420,30
211,Account14,https://www.facebook.com/coord_url_021/,111:12.0,405,26
212,Account17,https://www.facebook.com/coord_url_021/,111:30.0,418,31
213,Account20,https://www.facebook.com/coord_url_021/,111:48.0,412,28
214,Account03,https://www.facebook.com/coord_url_022/,115:00.0,730,49
215,Account06,https://www.facebook.com/coord_url_022/,115:12.0,735,50
216,Account09,https://www.facebook.com/coord_url_022/,115:24.0,728,48
217,Account12,https://www.facebook.com/coord_url_022/,115:36.0,740,51
218,Account15,https://www.facebook.com/coord_url_022/,115:48.0,725,47
219,Account18,https://www.facebook.com/coord_url_022/,116:00.0,738,52
220,Account01,https://www.facebook.com/coord_url_022/,116:12.0,732,49
221,Account04,https://www.facebook.com/coord_url_023/,120:00.0,870,59
222,Account07,https://www.facebook.com/coord_url_023/,120:10.0,875,60
223,Account10,https://www.facebook.com/coord_url_023/,120:20.0,868,58
224,Account13,https://www.facebook.com/coord_url_023/,120:30.0,880,61
225,Account16,https://www.facebook.com/coord_url_023/,120:40.0,865,57
226,Account19,https://www.facebook.com/coord_url_023/,120:50.0,878,62
227,Account02,https://www.facebook.com/coord_url_023/,121:00.0,872,59
228,Account05,https://www.facebook.com/coord_url_023/,121:10.0,883,63
229,Account08,https://www.facebook.com/coord_url_023/,121:20.0,870,60
230,Account11,https://www.facebook.com/coord_url_024/,125:00.0,520,35
231,Account12,https://www.facebook.com/coord_url_024/,125:15.0,525,36
232,Account13,https://www.facebook.com/coord_url_024/,125:30.0,518,34
233,Account14,https://www.facebook.com/coord_url_024/,125:45.0,530,37
234,Account15,https://www.facebook.com/coord_url_024/,126:00.0,515,33
235,Account16,https://www.facebook.com/coord_url_024/,126:15.0,528,38
236,Account17,https://www.facebook.com/coord_url_024/,126:30.0,522,35
237,Account18,https://www.facebook.com/coord_url_024/,126:45.0,533,39
238,Account19,https://www.facebook.com/coord_url_024/,127:00.0,520,36
239,Account20,https://www.facebook.com/coord_url_024/,127:15.0,535,40
240,Account01,https://www.facebook.com/coord_url_025/,130:00.0,990,68
241,Account04,https://www.facebook.com/coord_url_025/,130:10.0,995,69
242,Account07,https://www.facebook.com/coord_url_025/,130:20.0,988,67
243,Account10,https://www.facebook.com/coord_url_025/,130:30.0,1000,70
244,Account13,https://www.facebook.com/coord_url_025/,130:40.0,985,66
245,Account16,https://www.facebook.com/coord_url_025/,130:50.0,998,71
246,Account19,https://www.facebook.com/coord_url_025/,131:00.0,992,68
247,Account03,https://www.facebook.com/coord_url_025/,131:10.0,1003,72
248,Account06,https://www.facebook.com/coord_url_025/,131:20.0,990,69
249,Account09,https://www.facebook.com/coord_url_025/,131:30.0,1005,73
250,Account12,https://www.facebook.com/coord_url_025/,131:40.0,993,70
